Borough,SR_Type,Agency,Agency2,count,location,aggregate
QUEENS,Other Enforcement,DSNY,DSNY - 238K,1747,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Graffiti,DSNY,DSNY - 238K,2277,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Snow,DSNY,DSNY - 238K,4477,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Derelict Vehicles,DSNY,DSNY - 238K,6494,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Literature Request,DSNY,DSNY - 238K,6976,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Missed Collection (All Materials),DSNY,DSNY - 238K,8331,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Dirty Conditions,DSNY,DSNY - 238K,9762,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Sanitation Condition,DSNY,DSNY - 238K,9877,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,CFC Recovery,DSNY,DSNY - 238K,19677,QUEENS - 554K ,2.65 Million SRs in 2015
STATEN ISLAND,Employee Behavior,DSNY,DSNY - 238K,118,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Overflowing Litter Baskets,DSNY,DSNY - 238K,121,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Litter Basket / Request,DSNY,DSNY - 238K,183,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Graffiti,DSNY,DSNY - 238K,250,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Vacant Lot,DSNY,DSNY - 238K,339,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Other Enforcement,DSNY,DSNY - 238K,453,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Derelict Vehicles,DSNY,DSNY - 238K,961,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Snow Removal,DSNY,DSNY - 238K,1256,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Snow,DSNY,DSNY - 238K,1654,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Literature Request,DSNY,DSNY - 238K,2349,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Dirty Conditions,DSNY,DSNY - 238K,3012,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Sanitation Condition,DSNY,DSNY - 238K,3018,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Missed Collection (All Materials),DSNY,DSNY - 238K,4188,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,CFC Recovery,DSNY,DSNY - 238K,7113,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
BRONX,ELEVATOR,HPD,HPD - 625K,261,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,OUTSIDE BUILDING,HPD,HPD - 625K,343,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,SAFETY,HPD,HPD - 625K,2431,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,APPLIANCE,HPD,HPD - 625K,3697,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,GENERAL,HPD,HPD - 625K,6523,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,FLOORING/STAIRS,HPD,HPD - 625K,8079,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,ELECTRIC,HPD,HPD - 625K,8246,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,WATER LEAK,HPD,HPD - 625K,10688,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,DOOR/WINDOW,HPD,HPD - 625K,11927,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,PLUMBING,HPD,HPD - 625K,16879,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,PAINT/PLASTER,HPD,HPD - 625K,22045,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,UNSANITARY CONDITION,HPD,HPD - 625K,23223,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,HEAT/HOT WATER,HPD,HPD - 625K,70064,BRONX - 418K ,2.65 Million SRs in 2015
BROOKLYN,ELEVATOR,HPD,HPD - 625K,280,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,OUTSIDE BUILDING,HPD,HPD - 625K,552,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,SAFETY,HPD,HPD - 625K,3489,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,APPLIANCE,HPD,HPD - 625K,3492,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,GENERAL,HPD,HPD - 625K,7781,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,FLOORING/STAIRS,HPD,HPD - 625K,9595,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,ELECTRIC,HPD,HPD - 625K,11072,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,WATER LEAK,HPD,HPD - 625K,12820,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,DOOR/WINDOW,HPD,HPD - 625K,13746,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,PLUMBING,HPD,HPD - 625K,18053,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,PAINT/PLASTER,HPD,HPD - 625K,23278,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,UNSANITARY CONDITION,HPD,HPD - 625K,28189,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,HEAT/HOT WATER,HPD,HPD - 625K,66367,BROOKLYN - 718K ,2.65 Million SRs in 2015
MANHATTAN,ELEVATOR,HPD,HPD - 625K,314,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,OUTSIDE BUILDING,HPD,HPD - 625K,435,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,SAFETY,HPD,HPD - 625K,1930,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,APPLIANCE,HPD,HPD - 625K,2247,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,ELECTRIC,HPD,HPD - 625K,5320,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,FLOORING/STAIRS,HPD,HPD - 625K,6599,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,WATER LEAK,HPD,HPD - 625K,6840,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,DOOR/WINDOW,HPD,HPD - 625K,8217,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,GENERAL,HPD,HPD - 625K,8674,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,PLUMBING,HPD,HPD - 625K,11661,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,PAINT/PLASTER,HPD,HPD - 625K,14896,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,UNSANITARY CONDITION,HPD,HPD - 625K,16513,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,HEAT/HOT WATER,HPD,HPD - 625K,53040,MANHATTAN - 511K ,2.65 Million SRs in 2015
QUEENS,ELEVATOR,HPD,HPD - 625K,210,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,OUTSIDE BUILDING,HPD,HPD - 625K,276,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,APPLIANCE,HPD,HPD - 625K,1369,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,SAFETY,HPD,HPD - 625K,1587,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,FLOORING/STAIRS,HPD,HPD - 625K,2684,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,GENERAL,HPD,HPD - 625K,2960,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,WATER LEAK,HPD,HPD - 625K,4029,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,ELECTRIC,HPD,HPD - 625K,4364,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,DOOR/WINDOW,HPD,HPD - 625K,4696,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,PLUMBING,HPD,HPD - 625K,6779,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,PAINT/PLASTER,HPD,HPD - 625K,7595,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,UNSANITARY CONDITION,HPD,HPD - 625K,11791,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,HEAT/HOT WATER,HPD,HPD - 625K,28861,QUEENS - 554K ,2.65 Million SRs in 2015
STATEN ISLAND,APPLIANCE,HPD,HPD - 625K,238,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,SAFETY,HPD,HPD - 625K,238,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,GENERAL,HPD,HPD - 625K,383,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,FLOORING/STAIRS,HPD,HPD - 625K,509,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,WATER LEAK,HPD,HPD - 625K,594,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,ELECTRIC,HPD,HPD - 625K,656,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,DOOR/WINDOW,HPD,HPD - 625K,761,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,PAINT/PLASTER,HPD,HPD - 625K,939,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,PLUMBING,HPD,HPD - 625K,1156,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,UNSANITARY CONDITION,HPD,HPD - 625K,1883,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,HEAT/HOT WATER,HPD,HPD - 625K,2111,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
BRONX,Drinking,NYPD,NYPD - 585K,203,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Homeless Encampment,NYPD,NYPD - 585K,272,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Traffic,NYPD,NYPD - 585K,427,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Vending,NYPD,NYPD - 585K,431,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Noise - Park,NYPD,NYPD - 585K,544,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Non-Emergency Police Matter,NYPD,NYPD - 585K,933,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Animal Abuse,NYPD,NYPD - 585K,1946,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Derelict Vehicle,NYPD,NYPD - 585K,2360,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Noise - Commercial,NYPD,NYPD - 585K,2858,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Noise - Vehicle,NYPD,NYPD - 585K,3519,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Noise - Street/Sidewalk,NYPD,NYPD - 585K,9033,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Illegal Parking,NYPD,NYPD - 585K,9683,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Blocked Driveway,NYPD,NYPD - 585K,16611,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Noise - Residential,NYPD,NYPD - 585K,47859,BRONX - 418K ,2.65 Million SRs in 2015
BROOKLYN,Bike/Roller/Skate Chronic,NYPD,NYPD - 585K,124,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Urinating in Public,NYPD,NYPD - 585K,155,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Drinking,NYPD,NYPD - 585K,286,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Noise - House of Worship,NYPD,NYPD - 585K,384,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Vending,NYPD,NYPD - 585K,561,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Homeless Encampment,NYPD,NYPD - 585K,931,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Traffic,NYPD,NYPD - 585K,1239,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Noise - Park,NYPD,NYPD - 585K,1573,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Non-Emergency Police Matter,NYPD,NYPD - 585K,1913,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Animal Abuse,NYPD,NYPD - 585K,3149,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Noise - Vehicle,NYPD,NYPD - 585K,5874,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Derelict Vehicle,NYPD,NYPD - 585K,6099,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Noise - Commercial,NYPD,NYPD - 585K,13603,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Noise - Street/Sidewalk,NYPD,NYPD - 585K,13803,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Illegal Parking,NYPD,NYPD - 585K,32889,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Blocked Driveway,NYPD,NYPD - 585K,35664,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Noise - Residential,NYPD,NYPD - 585K,61282,BROOKLYN - 718K ,2.65 Million SRs in 2015
MANHATTAN,Panhandling,NYPD,NYPD - 585K,200,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Noise - House of Worship,NYPD,NYPD - 585K,219,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Bike/Roller/Skate Chronic,NYPD,NYPD - 585K,252,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Urinating in Public,NYPD,NYPD - 585K,262,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Drinking,NYPD,NYPD - 585K,318,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Derelict Vehicle,NYPD,NYPD - 585K,679,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Noise - Park,NYPD,NYPD - 585K,1228,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Non-Emergency Police Matter,NYPD,NYPD - 585K,1492,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Traffic,NYPD,NYPD - 585K,1758,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Animal Abuse,NYPD,NYPD - 585K,1908,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Vending,NYPD,NYPD - 585K,2555,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Blocked Driveway,NYPD,NYPD - 585K,2669,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Homeless Encampment,NYPD,NYPD - 585K,2994,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Noise - Vehicle,NYPD,NYPD - 585K,6200,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Illegal Parking,NYPD,NYPD - 585K,14306,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Noise - Commercial,NYPD,NYPD - 585K,18392,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Noise - Street/Sidewalk,NYPD,NYPD - 585K,22094,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Noise - Residential,NYPD,NYPD - 585K,45728,MANHATTAN - 511K ,2.65 Million SRs in 2015
QUEENS,Urinating in Public,NYPD,NYPD - 585K,146,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Noise - House of Worship,NYPD,NYPD - 585K,346,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Drinking,NYPD,NYPD - 585K,384,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Vending,NYPD,NYPD - 585K,507,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Homeless Encampment,NYPD,NYPD - 585K,511,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Noise - Park,NYPD,NYPD - 585K,647,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Traffic,NYPD,NYPD - 585K,1492,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Non-Emergency Police Matter,NYPD,NYPD - 585K,2412,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Animal Abuse,NYPD,NYPD - 585K,2583,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Noise - Vehicle,NYPD,NYPD - 585K,3010,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Noise - Street/Sidewalk,NYPD,NYPD - 585K,4618,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Noise - Commercial,NYPD,NYPD - 585K,7273,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Derelict Vehicle,NYPD,NYPD - 585K,9757,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Illegal Parking,NYPD,NYPD - 585K,26600,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Noise - Residential,NYPD,NYPD - 585K,40122,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Blocked Driveway,NYPD,NYPD - 585K,40513,QUEENS - 554K ,2.65 Million SRs in 2015
STATEN ISLAND,Drinking,NYPD,NYPD - 585K,179,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Traffic,NYPD,NYPD - 585K,227,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Noise - Vehicle,NYPD,NYPD - 585K,417,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Posting Advertisement,NYPD,NYPD - 585K,477,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Non-Emergency Police Matter,NYPD,NYPD - 585K,646,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Animal Abuse,NYPD,NYPD - 585K,768,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Noise - Commercial,NYPD,NYPD - 585K,780,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Noise - Street/Sidewalk,NYPD,NYPD - 585K,872,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Derelict Vehicle,NYPD,NYPD - 585K,2144,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Blocked Driveway,NYPD,NYPD - 585K,2776,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Illegal Parking,NYPD,NYPD - 585K,6103,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Noise - Residential,NYPD,NYPD - 585K,6123,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
BRONX,For Hire Vehicle Complaint,TLC,TLC - 69K,511,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Lost Property,TLC,TLC - 69K,522,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Taxi Complaint,TLC,TLC - 69K,614,BRONX - 418K ,2.65 Million SRs in 2015
BROOKLYN,Taxi Report,TLC,TLC - 69K,367,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,For Hire Vehicle Complaint,TLC,TLC - 69K,1071,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Taxi Complaint,TLC,TLC - 69K,2907,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Lost Property,TLC,TLC - 69K,5374,BROOKLYN - 718K ,2.65 Million SRs in 2015
MANHATTAN,For Hire Vehicle Report,TLC,TLC - 69K,138,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Found Property,TLC,TLC - 69K,236,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,For Hire Vehicle Complaint,TLC,TLC - 69K,1466,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Taxi Report,TLC,TLC - 69K,2145,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Taxi Complaint,TLC,TLC - 69K,10804,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Lost Property,TLC,TLC - 69K,27303,MANHATTAN - 511K ,2.65 Million SRs in 2015
QUEENS,Taxi Report,TLC,TLC - 69K,466,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,For Hire Vehicle Complaint,TLC,TLC - 69K,780,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Taxi Complaint,TLC,TLC - 69K,2668,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Lost Property,TLC,TLC - 69K,3122,QUEENS - 554K ,2.65 Million SRs in 2015
STATEN ISLAND,For Hire Vehicle Complaint,TLC,TLC - 69K,116,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
